Tiết/Lớp,10B1,10B3,10B5,10B7,10B8,11A2,11A4,11A6,11A8,11A9,12C1,12C3,12C5,12C6,12C7,
1,Fixed,Fixed,Fixed,Fixed,Fixed,None,None,None,None,None,Fixed,Fixed,Fixed,Fixed,Fixed,
2,Unfilled,Unfilled,Unfilled,Filled,Unfilled,None,None,None,None,None,Unfilled,Unfilled,Unfilled,Filled,Unfilled,
3,Unfilled,Unfilled,Unfilled,Filled,Unfilled,None,None,None,None,None,Unfilled,Unfilled,Unfilled,Filled,Unfilled,
4,Unfilled,Unfilled,Unfilled,Unfilled,Unfilled,None,None,None,None,None,Unfilled,Filled,Unfilled,Unfilled,Unfilled,
5,Unfilled,Unfilled,Unfilled,Unfilled,Unfilled,None,None,None,None,None,Unfilled,Filled,Unfilled,Unfilled,Unfilled,
6,None,None,None,None,None,Filled,Filled,Unfilled,Unfilled,Unfilled,None,None,None,None,None,
7,None,None,None,None,None,Filled,Filled,Unfilled,Filled,Unfilled,None,None,None,None,None,
8,None,None,None,None,None,Unfilled,Unfilled,Unfilled,Filled,Unfilled,None,None,None,None,None,
9,None,None,None,None,None,Unfilled,Unfilled,Unfilled,Unfilled,Unfilled,None,None,None,None,None,
10,None,None,None,None,None,Fixed,Fixed,Fixed,Fixed,Fixed,None,None,None,None,None,
11,Unfilled,Unfilled,Unfilled,Unfilled,Filled,None,None,None,None,None,Unfilled,Unfilled,Unfilled,Filled,Unfilled,
12,Unfilled,Unfilled,Filled,Unfilled,Filled,None,None,None,None,None,Unfilled,Unfilled,Filled,Filled,Unfilled,
13,Unfilled,Filled,Filled,Unfilled,Unfilled,None,None,None,None,None,Unfilled,Unfilled,Filled,Filled,Unfilled,
14,Unfilled,Filled,Unfilled,Unfilled,Unfilled,None,None,None,None,None,Filled,Unfilled,Unfilled,Filled,Unfilled,
15,Unfilled,Unfilled,Unfilled,Unfilled,Unfilled,None,None,None,None,None,Filled,Unfilled,Unfilled,Unfilled,Unfilled,
16,None,None,None,None,None,Unfilled,Unfilled,Unfilled,Filled,Unfilled,None,None,None,None,None,
17,None,None,None,None,None,Unfilled,Unfilled,Unfilled,Filled,Filled,None,None,None,None,None,
